algo,seed,backbone,stage,rel_spread,eff_rank,cos_raw,n_cols_nonconst,n_cols_varying,relstd_ch_gain,relstd_sinr_embb,relstd_sinr_urllc,relstd_q_embb,relstd_urllc_backlog,relstd_viol_ewma,relstd_prev_alloc_lag2,relstd_prev_alloc
gnn-mappo_sage,49,sage,input,0.13873463301091507,2.964187455912739,0.9762699745171991,6.0,6.0,0.056637930451150405,0.013079782590982506,1.2817286561601033,0.10078447083594526,1.2532133863383892,2.0,0.0,0.0
gnn-mappo_sage,49,sage,conv1_pre,0.10655804301338755,2.682612516122089,0.9858353376952176,,,,,,,,,,
gnn-mappo_sage,49,sage,conv1_act,0.11308811002004164,2.6413589863055904,0.9840551749264662,,,,,,,,,,
gnn-mappo_sage,49,sage,conv2,0.03478300761900028,2.4002108909414552,0.9987294457688428,,,,,,,,,,
gnn-mappo_sage,50,sage,input,0.11228934056414681,1.9811496826475667,0.9843601693582379,5.0,4.0,0.056637930451150405,1.2817286561601033,0.013079782590982506,2.0,0.002900662719274313,0.0,0.0,0.0
gnn-mappo_sage,50,sage,conv1_pre,0.07204849579408083,1.9733345804607458,0.9936593034841076,,,,,,,,,,
gnn-mappo_sage,50,sage,conv1_act,0.0736595777609801,2.005464021230911,0.9932477039390711,,,,,,,,,,
gnn-mappo_sage,50,sage,conv2,0.024590210923886857,1.9136521074820523,0.9994667253278517,,,,,,,,,,
gnn-mappo_sage,51,sage,input,0.11229666929904229,1.9881744890946262,0.9843566494229302,6.0,4.0,0.056637930451150405,1.2817286561601033,0.013079782590982506,2.0,0.002900662719274313,0.0009095657731790931,0.0,0.0
gnn-mappo_sage,51,sage,conv1_pre,0.07768850730917129,1.9639482868397915,0.9928303115190346,,,,,,,,,,
gnn-mappo_sage,51,sage,conv1_act,0.07791878000895147,2.1654510063366135,0.9928411022158077,,,,,,,,,,
gnn-mappo_sage,51,sage,conv2,0.026994528743914042,2.060807919895812,0.9992103995994533,,,,,,,,,,
gnn-mappo_sage,52,sage,input,0.3591567815377074,3.0355456491210697,0.8537915661010871,7.0,7.0,0.056637930451150405,0.45443391693417673,1.2441922737998632,0.2670860081297268,0.8296725156758498,2.0,0.0,0.1670106718220435
gnn-mappo_sage,52,sage,conv1_pre,0.26946585853711696,2.9421397077206,0.9171459853885645,,,,,,,,,,
gnn-mappo_sage,52,sage,conv1_act,0.2622312087631332,3.0319214839173068,0.9224093169363705,,,,,,,,,,
gnn-mappo_sage,52,sage,conv2,0.1645755679949453,2.9654277120909383,0.9677527443798256,,,,,,,,,,
gnn-mappo_sage,53,sage,input,0.3706912573387353,2.8767340674356077,0.8437633240464344,6.0,6.0,0.056637930451150405,1.1403731837767093,0.6767178422412677,1.2262854960315313,0.6528811554052907,1.6952215609930228,0.0,0.0
gnn-mappo_sage,53,sage,conv1_pre,0.2522822683779048,2.7864446512357897,0.9264910887172292,,,,,,,,,,
gnn-mappo_sage,53,sage,conv1_act,0.25504425156767146,2.9429023848741425,0.9267090716008264,,,,,,,,,,
gnn-mappo_sage,53,sage,conv2,0.09083075160070962,2.8524967847566742,0.9910169403753407,,,,,,,,,,
gnn-mappo_sage,54,sage,input,0.13882199244812893,2.965993093328351,0.9762414730224901,6.0,6.0,0.056637930451150405,0.013079782590982506,1.2817286561601033,0.10162463593033046,1.2532133863383892,2.0,0.0,0.0
gnn-mappo_sage,54,sage,conv1_pre,0.09260691501961718,2.9226101083860243,0.9894372675302978,,,,,,,,,,
gnn-mappo_sage,54,sage,conv1_act,0.09081853689116665,2.941032648236157,0.9900448080992559,,,,,,,,,,
gnn-mappo_sage,54,sage,conv2,0.018383589260794538,2.8549681354030505,0.9996775780175907,,,,,,,,,,
gnn-mappo_sage,55,sage,input,0.4261071234306814,2.6286659640162036,0.7980948886309402,6.0,6.0,0.056637930451150405,0.9984162420767653,0.8493915183987032,2.0,0.8164994070984832,1.192804290898436,0.0,0.0
gnn-mappo_sage,55,sage,conv1_pre,0.2986547135270799,2.562139544127566,0.8907637593331554,,,,,,,,,,
gnn-mappo_sage,55,sage,conv1_act,0.3518055315169004,2.5660267605354417,0.850966137457938,,,,,,,,,,
gnn-mappo_sage,55,sage,conv2,0.1901520436941348,2.455018203808826,0.9556881603981988,,,,,,,,,,
gnn-mappo_sage,56,sage,input,0.13882199244812893,2.965993093328351,0.9762414730224901,6.0,6.0,0.056637930451150405,0.013079782590982506,1.2817286561601033,0.10162463593033046,1.2532133863383892,2.0,0.0,0.0
